"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"18616",20094,"Mateusz Bak","Basic","Poland","T-Mobile Ekstraklasa","GK",58,"Lechia Gdansk","58","57","63","55","63"
"18622",20100,"Anders Kristiansen","Basic","Norway","Tippeligaen","GK",58,"Sarpsborg 08 FF","59","58","61","60","61"
"18625",20103,"Jean-Francois Kornetzky","Basic","France","Bundesliga 2","GK",58,"SG Dynamo Dresden","63","60","53","59","53"
"18655",20133,"Joe Anyon","Basic","England","EFL League One","GK",58,"Scunthorpe United","63","64","52","52","52"
"18661",20139,"Gerard Doherty","Basic","Northern Ireland","SSE Airtricity League","GK",58,"Derry City","63","63","58","56","58"
"18662",20140,"Luca Liverani","Basic","Italy","Calcio B","GK",58,"Salerno","64","54","56","61","56"
"18672",20150,"Rene Gilmartin","Basic","Republic of Ireland","Premier League","GK",58,"Watford","67","61","54","54","54"
"18699",20177,"Mazyad Al Enazi","Basic","Saudi Arabia","Dawry Jameel","GK",58,"Al Batin","58","63","62","55","62"
"18702",20180,"Jan Bekkema","Basic","Netherlands","Eredivisie","GK",58,"SC Heerenveen","63","63","58","57","58"
"18741",20219,"Thijmen Nijhuis","Basic","Netherlands","Eredivisie","GK",57,"FC Utrecht","63","58","54","54","54"
"18756",20234,"Tyler Miller","Basic","United States","Major League Soccer","GK",57,"Seattle Sounders FC","56","55","59","57","59"
"18768",20246,"Filip Loncaric","Basic","Croatia","Tippeligaen","GK",57,"Tromsø IL","56","58","56","60","56"
"18769",20247,"Filip Loncaric","Basic","Croatia","Tippeligaen","GK",57,"Tromsø IL","56","58","56","60","56"
"18776",20254,"Ryan Herman","Basic","United States","Major League Soccer","GK",57,"FC Dallas","56","61","60","55","60"
"18793",20271,"Felix Dornebusch","Basic","Germany","Bundesliga 2","GK",57,"VfL Bochum 1848","60","64","59","48","59"
"18798",20276,"Chris Day","Basic","England","EFL League Two","GK",57,"Stevenage","52","63","58","54","58"
"18803",20281,"Juan David Valencia","Basic","Colombia","Liga Dimayor","GK",57,"Rionegro Águilas","64","59","54","55","54"
"18804",20282,"Michael Brouwer","Basic","Netherlands","Eredivisie","GK",57,"Heracles Almelo","62","59","53","57","53"
"18830",20308,"Ted Smith","Basic","England","EFL League One","GK",57,"Southend United","59","65","56","56","56"
"18843",20321,"Wojciech Skaba","Basic","Poland","T-Mobile Ekstraklasa","GK",57,"Ruch Chorzów","62","57","56","56","56"
"18865",20343,"Ryan Esson","Basic","Scotland","Scottish Premiership","GK",57,"Inverness Caledonian Thistle","54","56","59","58","59"
"18868",20346,"Mattias Hugosson","Basic","Sweden","Allsvenskan","GK",57,"Gefle IF","57","54","61","55","61"
"18870",20348,"Andrea Fulignati","Basic","Italy","Calcio A","GK",57,"Palermo","58","64","57","51","57"
"18879",20357,"Sergio Román","Basic","Colombia","Liga Dimayor","GK",57,"Once Caldas","57","65","57","52","57"
"18880",20358,"James McKeown","Basic","Republic of Ireland","EFL League Two","GK",57,"Grimsby Town","58","58","54","57","54"
"18882",20360,"Ivan Necevski","Basic","Australia","Hyundai A-League","GK",57,"Central Coast Mariners","60","59","61","48","61"
"18883",20361,"Markus Böcskör","Basic","Austria","Österreichische Fußball-Bundesliga","GK",57,"SV Mattersburg","53","56","52","58","52"
"18969",20447,"Sébastien Mpeck-Makendi","Basic","France","Domino’s Ligue 2","GK",57,"US Orléans Loiret Football","59","56","56","60","56"
"18970",20448,"Eddi Gava","Basic","Italy","Calcio B","GK",57,"Terni","63","58","55","54","55"
"18976",20454,"Tobias Knoflach","Basic","Austria","Österreichische Fußball-Bundesliga","GK",57,"SK Rapid Wien","60","62","56","54","56"
"18979",20457,"Maksymilian Stryjek","Basic","Poland","Premier League","GK",57,"Sunderland","61","59","53","53","53"
"18994",20472,"Russell Griffiths","Basic","England","EFL League Two","GK",57,"Cheltenham Town","59","60","54","56","54"
"18998",20476,"Tolga Gemici","Basic","Turkey","Süper Lig","GK",57,"Gaziantepspor","64","59","54","52","54"
"19042",20520,"Quillan Roberts","Basic","Canada","Major League Soccer","GK",57,"Toronto FC","64","61","52","56","52"
"19054",20532,"Paul Izzo","Basic","Australia","Hyundai A-League","GK",57,"Central Coast Mariners","64","66","50","53","50"
"19064",20542,"Lalo Fernández","Basic","Mexico","Major League Soccer","GK",57,"Real Salt Lake","57","64","49","61","49"
"19067",20545,"Viktor Noring","Basic","Sweden","Scottish Premiership","GK",57,"Heart of Midlothian","58","58","56","59","56"
"19074",20552,"Liam O'Brien","Basic","England","EFL League Two","GK",57,"Portsmouth","62","59","52","55","52"
"19086",20564,"Marc McCallum","Basic","Scotland","EFL League Two","GK",57,"Plymouth Argyle","57","59","58","58","58"
"19113",20591,"Jurrian Jouvenaar","Basic","Netherlands","Eredivisie","GK",57,"ADO Den Haag","63","58","55","57","55"
"19119",20597,"Simon Thomas","Basic","Canada","Tippeligaen","GK",57,"FK Bodø/Glimt","58","59","58","57","58"
"19131",20609,"Lewis Italiano","Basic","Australia","Hyundai A-League","GK",57,"Wellington Phoenix","59","58","59","55","59"
"19148",20626,"Helge Valvatne Sandvik","Basic","Norway","Tippeligaen","GK",57,"FK Haugesund","56","62","51","58","51"
"19151",20629,"Timur Akmurzin","Basic","Russia","Sogaz Russian Football Championship","GK",57,"Rubin Kazan","64","65","51","48","51"
"19160",20638,"Juan Pérez","Basic","Spain","LaLiga Santander","GK",57,"CA Osasuna","54","68","49","63","49"
"19161",20639,"Nikolai Rehnen","Basic","Germany","Bundesliga 2","GK",57,"DSC Arminia Bielefeld","59","61","58","55","58"
"19166",20644,"Joaquín Muñoz","Basic","Chile","Campeonato Scotiabank","GK",57,"Audax Italiano","57","60","58","56","58"
"19167",20645,"Max Crocombe","Basic","New Zealand","EFL League Two","GK",57,"Carlisle United","60","59","55","55","55"
"19172",20650,"Elliot Parish","Basic","England","EFL League Two","GK",57,"Accrington Stanley","63","59","56","53","56"
"19178",20656,"Jo Su Huk","Basic","Korea Republic","K LEAGUE Classic","GK",57,"Incheon United FC","54","57","62","58","62"
"19185",20663,"Damian Podlesny","Basic","Poland","T-Mobile Ekstraklasa","GK",57,"Lechia Gdansk","59","56","46","66","46"
"19195",20673,"Patrick McLain","Basic","United States","Major League Soccer","GK",57,"Chicago Fire Soccer Club","61","62","53","55","53"
"19201",20679,"Rick Wulle","Basic","Germany","Bundesliga 2","GK",57,"SV Sandhausen","58","59","57","57","57"
"19202",20680,"Tim Wiesner","Basic","Germany","Bundesliga 2","GK",57,"Fortuna Düsseldorf","61","59","53","57","53"
"19211",20689,"Nick Townsend","Basic","England","EFL Championship","GK",57,"Barnsley","54","57","61","61","61"
"19226",20704,"Alain Estrada","Basic","Mexico","LIGA Bancomer MX","GK",56,"Pachuca","62","63","49","54","49"
"19228",20706,"Ross Etheridge","Basic","England","EFL League Two","GK",56,"Doncaster Rovers","59","58","54","55","54"
"19231",20709,"Marco Carducci","Basic","Canada","Major League Soccer","GK",56,"Vancouver Whitecaps FC","53","56","56","56","56"
"19233",20711,"Alexandre Menay","Basic","France","Ligue 1","GK",56,"AS Nancy Lorraine","63","60","54","47","54"
"19234",20712,"Gauthier Gallon","Basic","France","Domino’s Ligue 2","GK",56,"Nîmes Olympique","62","62","50","52","50"
"19239",20717,"John Hall","Basic","Australia","Hyundai A-League","GK",56,"Adelaide United","55","62","57","55","57"
"19240",20718,"Joel Pereira","Basic","Portugal","Liga NOS","GK",56,"CF Os Belenenses","63","55","53","54","53"
"19245",20723,"Callum Burton","Basic","England","EFL League One","GK",56,"Shrewsbury","58","60","55","56","55"
"19254",20732,"Pier Luigi Grazziani","Basic","Colombia","Liga Dimayor","GK",56,"Alianza Petrolera","55","56","58","58","58"
"19257",20735,"Daniel Andersson","Basic","Sweden","Allsvenskan","GK",56,"Helsingborgs IF","50","55","66","51","66"
"19266",20744,"Steve Collis","Basic","England","EFL League One","GK",56,"Rochdale","61","51","57","55","57"
"19267",20745,"Richard Brush","Basic","England","SSE Airtricity League","GK",56,"Finn Harps","57","63","54","57","54"
"19268",20746,"Gaëtan Coucke","Basic","Belgium","Belgium Pro League","GK",56,"KRC Genk","60","56","55","54","55"
"19269",20747,"Nicklas Dannevang","Basic","Denmark","Alka Superliga","GK",56,"AC Horsens","54","62","50","57","50"
"19272",20750,"Andreas Larsen","Basic","Denmark","Alka Superliga","GK",56,"Lyngby BK","58","57","58","52","58"
"19273",20751,"Jordan Smith","Basic","England","EFL Championship","GK",56,"Nottingham Forest","61","58","54","55","54"
"19277",20755,"William Cuesta","Basic","Colombia","Liga Dimayor","GK",56,"Deportes Tolima","53","48","70","54","70"
"19279",20757,"Charlie Grainger","Basic","England","EFL League Two","GK",56,"Leyton Orient","58","57","57","54","57"
"19280",20758,"Jack Duncan","Basic","Australia","Hyundai A-League","GK",56,"Newcastle Jets","61","58","56","55","56"
"19281",20759,"Thomas Castella","Basic","Switzerland","Raiffeisen Super League","GK",56,"FC Lausanne-Sport","66","66","44","54","44"
"19283",20761,"Emad Al Dosari","Basic","Saudi Arabia","Dawry Jameel","GK",56,"Al Wehda","58","58","53","57","53"
"19284",20762,"Cristián Guerra","Basic","Chile","Campeonato Scotiabank","GK",56,"Unión Española","48","58","61","53","61"
"19290",20768,"Thomas Nørgaard","Basic","Denmark","Alka Superliga","GK",56,"Silkeborg IF","56","58","53","56","53"
"19291",20769,"Alexey Berezin","Basic","Russia","Sogaz Russian Football Championship","GK",56,"FC Arsenal Tula","61","63","53","49","53"
"19295",20773,"Clément Diop","Basic","France","Major League Soccer","GK",56,"LA Galaxy","58","60","57","53","57"
"19296",20774,"Craig Hyland","Basic","Republic of Ireland","SSE Airtricity League","GK",56,"Shamrock Rovers","59","58","55","54","55"
"19297",20775,"Kim Kyo Bin","Basic","Korea Republic","K LEAGUE Classic","GK",56,"Jeonnam Dragons","54","59","56","59","56"
"19300",20778,"Yusuf Mersin","Basic","Turkey","EFL League Two","GK",56,"Crawley Town","57","59","58","52","58"
"19302",20780,"Konrad Forenc","Basic","Poland","T-Mobile Ekstraklasa","GK",56,"Zaglebie Lubin","58","56","52","63","52"
"19303",20781,"Alexander Lundin","Basic","Sweden","Allsvenskan","GK",56,"Falkenbergs FF","55","57","58","57","58"
"19306",20784,"Alexander Nadj","Basic","Sweden","Allsvenskan","GK",56,"BK Häcken","54","58","59","57","59"
"19310",20788,"Remi Matthews","Basic","England","Scottish Premiership","GK",56,"Hamilton Academical FC","62","59","53","55","53"
"19323",20801,"Lloyd Saxton","Basic","England","Allsvenskan","GK",56,"GIF Sundsvall","57","54","59","57","59"
"19343",20821,"Christoph Rieger","Basic","Austria","Österreichische Fußball-Bundesliga","GK",56,"SKN St. Pölten","60","59","52","54","52"
"19347",20825,"Mateusz Kryczka","Basic","Poland","T-Mobile Ekstraklasa","GK",56,"Wisla Plock","59","62","54","58","54"
"19354",20832,"John Berner","Basic","United States","Major League Soccer","GK",56,"Colorado Rapids","57","56","54","60","54"
"19374",20852,"Florian Escales","Basic","France","Ligue 1","GK",56,"Olympique de Marseille","62","57","56","55","56"
"19396",20874,"Calle Brown","Basic","United States","Major League Soccer","GK",56,"Houston Dynamo","51","64","51","58","51"
"19397",20875,"Andrew Tarbell","Basic","United States","Major League Soccer","GK",56,"San Jose Earthquakes","53","59","55","61","55"
"19404",20882,"Markus Schubert","Basic","Germany","Bundesliga 2","GK",56,"SG Dynamo Dresden","64","64","44","58","44"
"19405",20883,"James Aguirre","Basic","Colombia","Liga Dimayor","GK",56,"Atlético Bucaramanga","58","61","56","54","56"
"19456",20934,"Reuf Durakovic","Basic","Austria","Österreichische Fußball-Bundesliga","GK",56,"SV Guntamatic Ried","59","59","54","52","54"
"19457",20935,"Reuf Durakovic","Basic","Austria","Österreichische Fußball-Bundesliga","GK",56,"SV Guntamatic Ried","59","59","54","52","54"
"19458",20936,"Federico Serraiocco","Basic","Italy","Calcio B","GK",56,"Brescia","58","61","53","55","53"
"19496",20974,"Jeff Barria","Basic","Chile","Campeonato Scotiabank","GK",56,"CD Cobresal","56","60","58","53","58"
"19502",20980,"Julian Pollersbeck","Basic","Germany","Bundesliga 2","GK",56,"1. FC Kaiserslautern","60","59","51","53","51"
"19514",20992,"Evgeniy Goshev","Basic","Russia","Sogaz Russian Football Championship","GK",56,"FC Rostov","61","66","47","50","47"
"19517",20995,"Alexandr Shubin","Basic","Russia","Sogaz Russian Football Championship","GK",56,"FC Ural","59","60","51","55","51"
"19529",21007,"Oguzhan Demirci","Basic","Belgium","Süper Lig","GK",56,"Atiker Konyaspor","57","62","53","56","53"
"19530",21008,"Oguzhan Demirci","Basic","Belgium","Süper Lig","GK",56,"Atiker Konyaspor","57","62","53","56","53"
"19536",21014,"Bradley Collins","Basic","England","Premier League","GK",56,"Chelsea","60","63","49","53","49"
"19542",21020,"Choi Bong Jin","Basic","Korea Republic","K LEAGUE Classic","GK",56,"GwangJu FC","54","54","62","57","62"
"19557",21035,"Tom King","Basic","England","EFL League One","GK",56,"Millwall","59","60","53","55","53"
"19560",21038,"Dominik Reimann","Basic","Germany","Bundesliga","GK",56,"Borussia Dortmund","61","62","48","52","48"
"19566",21044,"Francois-Joseph Sollacaro","Basic","France","Domino’s Ligue 2","GK",56,"Athlétic Club Ajaccio","62","64","50","49","50"
"19639",21117,"Valentin Baume","Basic","Belgium","Belgium Pro League","GK",56,"Sporting Charleroi","58","64","50","54","50"
"19646",21124,"Tim Markström","Basic","Sweden","Allsvenskan","GK",56,"Hammarby IF","53","58","56","60","56"
"19690",21168,"Ali Al Ahsai","Basic","Saudi Arabia","Dawry Jameel","GK",55,"Al Khaleej","59","54","57","55","57"
"19697",21175,"Yang Han Been","Basic","Korea Republic","K LEAGUE Classic","GK",55,"FC Seoul","64","54","50","54","50"
"19705",21183,"Connal Trueman","Basic","England","EFL Championship","GK",55,"Birmingham City","58","50","52","56","52"
"19706",21184,"Wojciech Malecki","Basic","Poland","T-Mobile Ekstraklasa","GK",55,"Górnik Leczna","59","58","52","54","52"
"19734",21212,"Ben Wilson","Basic","England","EFL Championship","GK",55,"Cardiff City","60","53","52","52","52"
"19736",21214,"Charlie Lyon","Basic","United States","Major League Soccer","GK",55,"Seattle Sounders FC","58","52","56","53","56"
"19738",21216,"Lucas Hägg-Johansson","Basic","Sweden","Allsvenskan","GK",55,"Kalmar FF","55","54","57","56","57"
"19739",21217,"Lucas Hägg-Johansson","Basic","Sweden","Allsvenskan","GK",55,"Kalmar FF","55","54","57","56","57"
"19771",21249,"Will Puddy","Basic","England","EFL League One","GK",55,"Bristol Rovers","57","60","56","56","56"
"19778",21256,"Leonardo Figueroa","Basic","Chile","Campeonato Scotiabank","GK",55,"CD O'Higgins","59","56","52","52","52"
"19784",21262,"Goran Karacic","Basic","Bosnia Herzegovina","Süper Lig","GK",55,"Adanaspor","55","57","54","58","54"
"19808",21286,"Ivan Komissarov","Basic","Russia","Sogaz Russian Football Championship","GK",55,"FC Rostov","64","65","51","46","51"
"19813",21291,"Wayne Brown","Basic","England","EFL League One","GK",55,"Oxford United","57","62","50","54","50"
"19814",21292,"Guillaume Lesec","Basic","France","Domino’s Ligue 2","GK",55,"Stade Lavallois Mayenne FC","57","58","54","51","54"
"19821",21299,"Bartolomej Kuru","Basic","Austria","Österreichische Fußball-Bundesliga","GK",55,"SKN St. Pölten","47","60","53","52","53"
"19830",21308,"Joe McDonnell","Basic","England","EFL League One","GK",55,"AFC Wimbledon","54","58","55","55","55"
"19831",21309,"Jonas Jensen","Basic","Denmark","Alka Superliga","GK",55,"Esbjerg fB","53","44","52","68","52"
"19842",21320,"Jens Rinke","Basic","Denmark","Alka Superliga","GK",55,"Silkeborg IF","60","57","53","52","53"
"19849",21327,"Maxim Pavlov","Basic","Russia","Sogaz Russian Football Championship","GK",55,"FC Krylya Sovetov Samara","58","62","54","52","54"
"19857",21335,"Marek Rodák","Basic","Slovakia","EFL Championship","GK",55,"Fulham","60","58","53","51","53"
"19861",21339,"Francesco Russo","Basic","Italy","Raiffeisen Super League","GK",55,"FC Lugano","49","58","60","53","60"
"19893",21371,"Vitaliy Shilnikov","Basic","Russia","Sogaz Russian Football Championship","GK",55,"FC Krylya Sovetov Samara","57","63","51","48","51"
"19909",21387,"Andre Rawls","Basic","United States","Major League Soccer","GK",55,"New York City Football Club","58","58","53","56","53"
"19910",21388,"Stefan Hagerup","Basic","Norway","Tippeligaen","GK",55,"Sogndal Fotball","54","57","53","59","53"
"19911",21389,"Mohammed Asiri","Basic","Saudi Arabia","Dawry Jameel","GK",55,"Al Qadisiyah","54","57","56","56","56"
"19914",21392,"Graham Doyle","Basic","Republic of Ireland","SSE Airtricity League","GK",55,"Wexford Youths","57","56","53","56","53"
"19921",21399,"Mason Stajduhar","Basic","United States","Major League Soccer","GK",55,"Orlando City Soccer Club","59","55","53","54","53"
"19928",21406,"Sultan Al Ghamdi","Basic","Saudi Arabia","Dawry Jameel","GK",55,"Al Taawoun","54","59","53","55","53"
"19932",21410,"Marcel Engelhardt","Basic","Germany","Bundesliga 2","GK",55,"Eintracht Braunschweig","55","60","52","55","52"
"19936",21414,"Yannick Verbist","Basic","Belgium","Belgium Pro League","GK",55,"KVC Westerlo","60","60","47","62","47"
"19942",21420,"Hong Jung Nam","Basic","Korea Republic","K LEAGUE Classic","GK",55,"Jeonbuk Hyundai Motors","58","49","53","54","53"
"19943",21421,"Xavier Lenogue","Basic","France","Domino’s Ligue 2","GK",55,"AJ Auxerre","63","53","48","54","48"
"19944",21422,"Jair Mosquera","Basic","Colombia","Liga Dimayor","GK",55,"Junior FC","58","59","55","53","55"
"19946",21424,"Thomas Hadler","Basic","England","EFL League One","GK",55,"Gillingham","62","60","54","52","54"
"19956",21434,"Daniel Iversen","Basic","Denmark","Premier League","GK",55,"Leicester City","62","58","50","50","50"
"19959",21437,"Leon Bätge","Basic","Germany","Bundesliga","GK",55,"Eintracht Frankfurt","57","60","52","54","52"
"19978",21456,"Mansour Jawhar","Basic","Saudi Arabia","Dawry Jameel","GK",55,"Al Shabab","54","54","57","57","57"
"19983",21461,"Kamil Lech","Basic","Poland","T-Mobile Ekstraklasa","GK",55,"Ruch Chorzów","58","59","55","52","55"
"19984",21462,"Facundo Altamirano","Basic","Argentina","Primera División","GK",55,"Club Atlético Banfield","59","62","43","54","43"
"19985",21463,"Danijel Nizic","Basic","Australia","EFL League Two","GK",55,"Morecambe","58","57","50","53","50"
"20007",21485,"Nils-Jonathan Körber","Basic","Germany","Bundesliga","GK",55,"Hertha Berlin","59","57","55","53","55"
"20011",21489,"Ivan Lucic","Basic","Austria","EFL Championship","GK",55,"Bristol City","54","57","59","47","59"
"20017",21495,"Tyrell Belford","Basic","England","EFL League One","GK",55,"Swindon Town","55","58","54","56","54"
"20018",21496,"Ryan Scully","Basic","Scotland","Scottish Premiership","GK",55,"Partick Thistle F.C.","59","57","54","53","54"
"20020",21498,"Dillon Barnes","Basic","England","EFL League Two","GK",55,"Colchester United","59","63","53","51","53"
"20022",21500,"Johan Wallens","Basic","Colombia","Liga Dimayor","GK",55,"Deportivo Cali","52","52","62","57","62"
"20023",21501,"Santiago Rodas","Basic","Colombia","Liga Dimayor","GK",55,"Alianza Petrolera","59","54","58","52","58"
"20029",21507,"Joe Lumley","Basic","England","EFL Championship","GK",55,"Queens Park Rangers","56","56","50","59","50"
"20031",21509,"Aaron Chapman","Basic","England","EFL League Two","GK",55,"Accrington Stanley","63","55","57","50","57"
"20047",21525,"Jakub Miszczuk","Basic","Poland","T-Mobile Ekstraklasa","GK",55,"Ruch Chorzów","58","59","51","51","51"
"20059",21537,"Johan Brattberg","Basic","Sweden","Allsvenskan","GK",55,"Falkenbergs FF","53","55","57","59","57"
"20094",21572,"Stuart Moore","Basic","England","EFL Championship","GK",54,"Reading","55","54","52","55","52"
"20100",21578,"David Richards","Basic","Wales","EFL League Two","GK",54,"Crewe Alexandra","53","55","56","52","56"
"20106",21584,"Ahmad Al Meshaweh","Basic","Saudi Arabia","Dawry Jameel","GK",54,"Al Raed","59","54","51","52","51"
"20111",21589,"Jonathan Maddison","Basic","England","EFL League Two","GK",54,"Yeovil Town","58","59","48","49","48"
"20117",21595,"César Ríos","Basic","Mexico","LIGA Bancomer MX","GK",54,"Club León","50","51","56","54","56"
"20132",21610,"Lukas Fernandes","Basic","Denmark","Alka Superliga","GK",54,"SønderjyskE","53","55","53","58","53"
"20138",21616,"Jake Eastwood","Basic","England","EFL League One","GK",54,"Sheffield United","53","57","53","56","53"
"20145",21623,"David Mitchell","Basic","Scotland","Scottish Premiership","GK",54,"Dundee FC","62","54","54","51","54"
"20153",21631,"Geovanni Banguera","Basic","Colombia","Liga Dimayor","GK",54,"Atlético Huila","63","64","51","42","51"
"20165",21643,"Airton","Basic","Brazil","Österreichische Fußball-Bundesliga","GK",54,"FC Red Bull Salzburg","56","56","54","49","54"
"20169",21647,"Leonid Otchenashenko","Basic","Poland","T-Mobile Ekstraklasa","GK",54,"Korona Kielce","58","55","47","58","47"
"20187",21665,"Alessandro Piacenti","Basic","Italy","Calcio B","GK",54,"Terni","61","56","48","52","48"
"20199",21677,"Shaun Rowley","Basic","England","EFL League One","GK",54,"Shrewsbury","54","53","56","55","56"
"20207",21685,"Jonathan Malmberg","Basic","Sweden","Allsvenskan","GK",54,"GIF Sundsvall","55","54","55","55","55"
"20210",21688,"Konrad Jalocha","Basic","Poland","T-Mobile Ekstraklasa","GK",54,"Arka Gdynia","58","56","54","49","54"
"20211",21689,"Marko Johansson","Basic","Sweden","Allsvenskan","GK",54,"Malmö FF","51","56","54","58","54"
"20214",21692,"James Bransgrove","Basic","Scotland","EFL League Two","GK",54,"Colchester United","59","57","53","50","53"
"20240",21718,"Diego Lara","Basic","Chile","Campeonato Scotiabank","GK",54,"CD Cobresal","56","53","54","52","54"
"20242",21720,"Matt Pacifici","Basic","United States","Major League Soccer","GK",54,"Columbus Crew SC","59","51","54","54","54"
"20256",21734,"Tobias Schützenauer","Basic","Austria","Österreichische Fußball-Bundesliga","GK",54,"SK Sturm Graz","57","52","57","48","57"
"20258",21736,"Pascal Albrecht","Basic","Switzerland","Raiffeisen Super League","GK",54,"FC St. Gallen","58","56","52","51","52"
"20263",21741,"Alex Palmer","Basic","England","Premier League","GK",54,"West Bromwich Albion","62","57","50","49","50"
"20268",21746,"Runar Runarsson","Basic","Iceland","Alka Superliga","GK",54,"FC Nordsjælland","56","57","55","55","55"
"20272",21750,"Ryan Boot","Basic","England","EFL League One","GK",54,"Port Vale","55","54","53","53","53"
"20273",21751,"Mohammed Al Taweel","Basic","Saudi Arabia","Dawry Jameel","GK",54,"Al Khaleej","56","56","52","53","52"
"20274",21752,"Marko Maroši","Basic","Slovakia","EFL League Two","GK",54,"Doncaster Rovers","59","57","52","48","52"
"20275",21753,"Viljar Myhra","Basic","Norway","Tippeligaen","GK",54,"Odds BK","53","54","53","56","53"
"20292",21770,"Tino Casali","Basic","Austria","Österreichische Fußball-Bundesliga","GK",54,"FK Austria Wien","61","66","44","53","44"
"20295",21773,"Joel Coleman","Basic","England","EFL Championship","GK",54,"Huddersfield Town","54","52","56","52","56"
"20321",21799,"Sven Müller","Basic","Germany","Bundesliga","GK",54,"1. FC Köln","56","58","51","57","51"
"20383",21861,"Gregor Kobel","Basic","Switzerland","Bundesliga","GK",53,"TSG 1899 Hoffenheim","58","55","51","56","51"
"20386",21864,"Conor Winn","Basic","England","SSE Airtricity League","GK",53,"Galway United","57","55","48","52","48"
"20424",21902,"Jonathan Mitchell","Basic","England","EFL Championship","GK",53,"Derby County","57","51","56","50","56"
"20428",21906,"Jiri Koski","Basic","Finland","Rest of World","GK",53,"HJK Helsinki","56","58","51","53","51"
"20434",21912,"Aziz Murat Karahan","Basic","Turkey","Süper Lig","GK",53,"Alanyaspor","58","62","43","58","43"
"20435",21913,"Robert Jendrusch","Basic","Germany","Bundesliga 2","GK",53,"FC Erzgebirge Aue","58","61","49","50","49"
"20444",21922,"Dominik Hladun","Basic","Poland","T-Mobile Ekstraklasa","GK",53,"Zaglebie Lubin","55","57","49","52","49"
"20454",21932,"Dawid Smug","Basic","Poland","T-Mobile Ekstraklasa","GK",53,"Górnik Leczna","58","55","50","47","50"
"20455",21933,"Michael Hiegl","Basic","Germany","Bundesliga 2","GK",53,"SV Sandhausen","54","55","52","51","52"
"20462",21940,"Sebastian John Linnet","Basic","Denmark","Alka Superliga","GK",53,"Viborg FF","53","55","52","53","52"
"20465",21943,"Dillon Phillips","Basic","England","EFL League One","GK",53,"Charlton Athletic","58","54","49","51","49"
"20466",21944,"James Hamon","Basic","England","EFL League Two","GK",53,"Exeter City","54","58","52","50","52"
"20470",21948,"Svend Brodersen","Basic","Germany","Bundesliga 2","GK",53,"FC St. Pauli Hamburg","55","56","54","53","54"
"20474",21952,"Conor Mitchell","Basic","Northern Ireland","Premier League","GK",53,"Burnley","54","56","52","53","52"
"20478",21956,"Mario Seidel","Basic","Germany","Bundesliga 2","GK",53,"FC Erzgebirge Aue","57","60","46","53","46"
"20479",21957,"Krystian Stepniowski","Basic","Poland","T-Mobile Ekstraklasa","GK",53,"Cracovia","55","58","55","47","55"
"20496",21974,"Ahmed Al Harbi","Basic","Saudi Arabia","Dawry Jameel","GK",53,"Al Ahli","59","54","49","48","49"
"20497",21975,"Alex Bass","Basic","England","EFL League Two","GK",53,"Portsmouth","56","54","51","50","51"
"20500",21978,"Jordan Thurtell","Basic","Australia","Hyundai A-League","GK",53,"Perth Glory","58","56","53","49","53"
"20505",21983,"Oscar Jonsson","Basic","Sweden","Allsvenskan","GK",53,"Djurgårdens IF","58","58","46","49","46"
"20509",21987,"John Håkansson","Basic","Sweden","Allsvenskan","GK",53,"Kalmar FF","53","51","53","55","53"
"20521",21999,"Saad Al Saleh","Basic","Saudi Arabia","Dawry Jameel","GK",53,"Al Qadisiyah","52","57","55","50","55"
"20523",22001,"Paul Skinner","Basic","Republic of Ireland","SSE Airtricity League","GK",53,"Longford Town","54","54","53","54","53"
"20524",22002,"James Bittner","Basic","England","EFL League Two","GK",53,"Newport County","49","52","57","54","57"
"20528",22006,"Entonjo Elezaj","Basic","Albania","Calcio B","GK",53,"Perugia","54","55","50","54","50"
"20540",22018,"Gabriel Sava","Basic","Italy","SSE Airtricity League","GK",53,"Dundalk","54","53","54","52","54"
"20543",22021,"Patrick O'Flaherty","Basic","England","Premier League","GK",53,"Bournemouth","60","63","44","47","44"
"20544",22022,"Juan Jiménez","Basic","Colombia","Liga Dimayor","GK",53,"Envigado FC","54","54","53","49","53"
"20556",22034,"Adrian Henger","Basic","Poland","T-Mobile Ekstraklasa","GK",53,"Pogon Szczecin","59","57","49","46","49"
"20563",22041,"Dario Marzino","Basic","Switzerland","Raiffeisen Super League","GK",53,"BSC Young Boys","61","60","44","47","44"
"20574",22052,"Julian Rosenstingl","Basic","Austria","Österreichische Fußball-Bundesliga","GK",53,"SV Mattersburg","57","61","47","51","47"
"20576",22054,"Wade Hamilton","Basic","United States","Major League Soccer","GK",53,"Portland Timbers","51","58","51","52","51"
"20584",22062,"Markus Schöller","Basic","Austria","Österreichische Fußball-Bundesliga","GK",53,"SV Guntamatic Ried","57","58","52","46","52"
"20596",22074,"Javier Orobio","Basic","Colombia","Liga Dimayor","GK",53,"Atlético Bucaramanga","53","57","53","47","53"
"20611",22089,"Jordan Holmes","Basic","Australia","Premier League","GK",53,"Bournemouth","51","52","55","54","55"
"20615",22093,"Leon Jankowski","Basic","Poland","Bundesliga 2","GK",53,"1. FC Heidenheim 1846","56","55","49","53","49"
"20629",22107,"Julius Lindgren","Basic","Sweden","Allsvenskan","GK",53,"IFK Norrköping","60","52","47","55","47"
